image_path	vocab_id	label
ground_truth/sample_set/test/9/13/1.jpg	9761	బొట్టుపైనా
ground_truth/sample_set/test/9/13/2.jpg	3216	మూలిగే
ground_truth/sample_set/test/9/13/3.jpg	162	ప్రభుత్వాలు
ground_truth/sample_set/test/9/13/4.jpg	9063	పేర్కొనాలి
ground_truth/sample_set/test/9/13/5.jpg	7186	తరలించాల్సి
ground_truth/sample_set/test/9/13/6.jpg	1634	చలనచిత్ర
ground_truth/sample_set/test/9/13/7.jpg	6343	చిత్రకథలు
ground_truth/sample_set/test/9/13/8.jpg	1432	సాక్ష్యం
ground_truth/sample_set/test/9/13/9.jpg	8178	నిర్ధారించేవారు
ground_truth/sample_set/test/9/13/10.jpg	1499	ఆగమ
ground_truth/sample_set/test/9/13/11.jpg	1148	ఊహించని
ground_truth/sample_set/test/9/13/12.jpg	989	నిర్వహించి
ground_truth/sample_set/test/9/13/13.jpg	11484	విపక్షమైన
ground_truth/sample_set/test/9/13/14.jpg	6559	చేతనే
ground_truth/sample_set/test/9/13/15.jpg	4532	ఇంజనీర్స్
ground_truth/sample_set/test/9/13/16.jpg	2821	నావి
ground_truth/sample_set/test/9/13/17.jpg	1336	మనమే
ground_truth/sample_set/test/9/13/18.jpg	10831	రాసుకుంటే
ground_truth/sample_set/test/9/13/19.jpg	9929	భోగాలకు
ground_truth/sample_set/test/9/13/20.jpg	6544	చెల్లింపుదారుల
ground_truth/sample_set/test/9/13/21.jpg	10407	మూడోవారంలో
ground_truth/sample_set/test/9/13/22.jpg	5515	కాలేదెందుకో
ground_truth/sample_set/test/9/13/23.jpg	11461	వినిపించగా
ground_truth/sample_set/test/9/13/24.jpg	4724	ఉత్తరఖండ్
ground_truth/sample_set/test/9/53/1.jpg	12531	సిద్ధమవ్వాల్సిన
ground_truth/sample_set/test/9/53/2.jpg	2624	జాగ్రత్తపడాలి
ground_truth/sample_set/test/9/53/3.jpg	11952	శబ్దరూపంలో
ground_truth/sample_set/test/9/53/4.jpg	2625	జానపదుల
ground_truth/sample_set/test/9/53/5.jpg	12747	స్థిరనివాసం
ground_truth/sample_set/test/9/53/6.jpg	4645	ఇష్టానుసారంగా
ground_truth/sample_set/test/9/53/7.jpg	2722	తెల్లవారు
ground_truth/sample_set/test/9/53/8.jpg	8288	నువ్వెలా
ground_truth/sample_set/test/9/53/9.jpg	6051	గుడ్డిగా
ground_truth/sample_set/test/9/53/10.jpg	2773	దొరకదు
ground_truth/sample_set/test/9/53/11.jpg	10294	మిశ్రా
ground_truth/sample_set/test/9/53/12.jpg	5628	కూర్చునేందుకు
ground_truth/sample_set/test/9/53/13.jpg	1323	బొమ్మలు
ground_truth/sample_set/test/9/53/14.jpg	1059	వార్త
ground_truth/sample_set/test/9/53/15.jpg	1900	మాటలో
ground_truth/sample_set/test/9/53/16.jpg	5826	కౌలురైతుల
ground_truth/sample_set/test/9/53/17.jpg	4776	ఉన్నానంటూ
ground_truth/sample_set/test/9/53/18.jpg	2757	దీపం
ground_truth/sample_set/test/9/53/19.jpg	158	గొప్ప
ground_truth/sample_set/test/9/53/20.jpg	10688	రజితరాణి
ground_truth/sample_set/test/9/53/21.jpg	1320	బాల్యం
ground_truth/sample_set/test/9/53/22.jpg	5978	గర్వకారణం
ground_truth/sample_set/test/9/53/23.jpg	10089	మర్చిపోవచ్చు
ground_truth/sample_set/test/9/53/24.jpg	11866	వొక్కోసారి
ground_truth/sample_set/test/9/65/1.jpg	9776	బోర్డులో
ground_truth/sample_set/test/9/65/2.jpg	6712	చౌదరిని
ground_truth/sample_set/test/9/65/3.jpg	12438	సాగునీటి
ground_truth/sample_set/test/9/65/4.jpg	7413	తెమ్మంది
