page_key,split,writer_id,page_id,image_index,image_path,vocab_id,ground_truth_text,word_label_path,page_label_path
val_4_69,val,4,69,1,ground_truth/sample_set/val/4/69/1.jpg,9121,పొరలున్నాయని,data/ground_truth/word_labels/val_4_69_1.txt,data/ground_truth/page_labels/val_4_69.txt
val_4_69,val,4,69,2,ground_truth/sample_set/val/4/69/2.jpg,4878,ఎంప్లాయాస్,data/ground_truth/word_labels/val_4_69_2.txt,data/ground_truth/page_labels/val_4_69.txt
val_4_69,val,4,69,3,ground_truth/sample_set/val/4/69/3.jpg,7101,తగ్గుతారు,data/ground_truth/word_labels/val_4_69_3.txt,data/ground_truth/page_labels/val_4_69.txt
val_4_69,val,4,69,4,ground_truth/sample_set/val/4/69/4.jpg,1173,కారణమని,data/ground_truth/word_labels/val_4_69_4.txt,data/ground_truth/page_labels/val_4_69.txt
val_4_69,val,4,69,5,ground_truth/sample_set/val/4/69/5.jpg,7483,తేజోవిశేషాలు,data/ground_truth/word_labels/val_4_69_5.txt,data/ground_truth/page_labels/val_4_69.txt
val_4_69,val,4,69,6,ground_truth/sample_set/val/4/69/6.jpg,10712,రసాయనిక,data/ground_truth/word_labels/val_4_69_6.txt,data/ground_truth/page_labels/val_4_69.txt
val_4_69,val,4,69,7,ground_truth/sample_set/val/4/69/7.jpg,528,వుండే,data/ground_truth/word_labels/val_4_69_7.txt,data/ground_truth/page_labels/val_4_69.txt
val_4_69,val,4,69,8,ground_truth/sample_set/val/4/69/8.jpg,8495,పడేందుకు,data/ground_truth/word_labels/val_4_69_8.txt,data/ground_truth/page_labels/val_4_69.txt
val_4_69,val,4,69,9,ground_truth/sample_set/val/4/69/9.jpg,11266,వాచకం,data/ground_truth/word_labels/val_4_69_9.txt,data/ground_truth/page_labels/val_4_69.txt
val_4_69,val,4,69,10,ground_truth/sample_set/val/4/69/10.jpg,6950,టాల్కం,data/ground_truth/word_labels/val_4_69_10.txt,data/ground_truth/page_labels/val_4_69.txt
val_4_69,val,4,69,11,ground_truth/sample_set/val/4/69/11.jpg,2613,జన్మదినం,data/ground_truth/word_labels/val_4_69_11.txt,data/ground_truth/page_labels/val_4_69.txt
val_4_69,val,4,69,12,ground_truth/sample_set/val/4/69/12.jpg,10965,లక్కరాజు,data/ground_truth/word_labels/val_4_69_12.txt,data/ground_truth/page_labels/val_4_69.txt
